Name|Language|PlantIDs
Penstemon antirrhinoides|Latin|PL0001
Chaparral Penstemon|English|PL0001, PL0002
Chaparral Beardtongue|English|PL0001, PL0002
Snapdragon Penstemon|English|PL0001, PL0002
Snapdragon Beardtongue|English|PL0001, PL0002
Chaparral Bush-beardtongue|English|PL0001
Penstemon antirrhinoides microphyllus|Latin|PL0002
Penstemon antirrhinoides microphylla|Latin|PL0002
Penstemon microphyllus|Latin|PL0002
Bush Penstemon|English|PL0002,PL0003,PL0006,PL0138
Bush Beardtongue|English|PL0002,PL0003,PL0006,PL0138
Little-leaved Chaparral Penstemon|English|PL0002
Little-leaved Chaparral BeardTongue|English|PL0002
Yellow Bush Penstemon|English|PL0002
Yellow Bush Beardtongue|English|PL0002
Penstemon breviflorus|Latin|PL0003
Gaping Bush-beardtongue|English|PL0003
Gaping Penstemon|English|PL0003
Penstemon cordifolius|Latin|PL0004
Heart-leaf Keckiella|English|PL0004
Heart-leaf Bush-beardtongue|English|PL0004
Climbing Penstemon|English|PL0004
Climbing Beardtongue|English|PL0004
Heart-leaf Penstemon|English|PL0004
Heart-leaf Beardtongue|English|PL0004
Penstemon corymbosus|Latin|PL0005
Red Shrubby Penstemon|English|PL0005
Red Shrubby Beardtongue|English|PL0005
Redwood Keckiella|English|PL0005
Penstemon lemmonii|Latin|PL0006
Lemmon's Penstemon|English|PL0006
Lemmon's Beardtongue|English|PL0006
Lemmon's Bush-beardtongue|English|PL0006
Lemmon's Keckiella|English|PL0006
Shrubby Penstemon|English|PL0006,PL0138,PL0139,PL0140
Shrubby Beardtongue|English|PL0006,PL0138,PL0139,PL0140
Penstemon rothrockii jacintensis|Latin|PL0007
Rothrock's Bush-beardtongue|English|PL0007,PL0008
Rothrock's Keckiella|English|PL0007,PL0008
Rothrock's Penstemon|English|PL0007,PL0008
Rothrock's Beardtongue|English|PL0007,PL0008
San Jacinto Mountains Keckiella|English|PL0007
Penstemon rothrockii|Latin|PL0008
Penstemon nemorosus|Latin|PL0009
Woodland Beardtongue|English|PL0009
Woodland Penstemon|English|PL0009
