Name|Language|PlantKeys
Keckiella antirrhinoides antirrhinoides|Latin|PL0001
Penstemon antirrhinoides|Latin|PL0001
Chaparral Penstemon|English|PL0001, PL0002
Chaparral Beardtongue|English|PL0001, PL0002
Snapdragon Penstemon|English|PL0001, PL0002
Chaparral Bush-beardtongue|English|PL0001
Keckiella antirrhinoides microphylla|Latin|PL0002
Penstemon antirrhinoides microphyllus|Latin|PL0002
Penstemon antirrhinoides microphylla|Latin|PL0002
Penstemon microphyllus|Latin|PL0002
Bush Penstemon|English|PL0002,PL0003,PL0006,PL0138
Bush Beardtongue|English|PL0002,PL0003,PL0006,PL0138
Littleleaved Chaparral Penstemon|English|PL0002
Little-leaved Chaparral Penstemon|English|PL0002
Little Leaved Chaparral Penstemon|English|PL0002
Littleleaved Chaparral BeardTongue|English|PL0002
Little-leaved Chaparral BeardTongue|English|PL0002
Little Leaved Chaparral BeardTongue|English|PL0002
Yellow Bush Penstemon|English|PL0002
Yellow Bush Beardtongue|English|PL0002
Keckiella breviflora|Latin|PL0003
Penstemon breviflorus|Latin|PL0003
Gaping Bush-beardtongue|English|PL0003
Gaping Penstemon|English|PL0003
Keckiella cordifolia|Latin|PL0004
Penstemon cordifolius|Latin|PL0004
Heartleaf Keckiella|English|PL0004
Heart-leaf Keckiella|English|PL0004
Heart Leaf Keckiella|English|PL0004
Heartleaf Bush-beardtongue|English|PL0004
Heart-leaf Bush-beardtongue|English|PL0004
Heart Leaf Bush-beardtongue|English|PL0004
Heart-leaf Bush Beardtongue|English|PL0004
Heartleaf Bush Beardtongue|English|PL0004
Heart Leaf Bush Beardtongue|English|PL0004
Climbing Penstemon|English|PL0004
Climbing Beardtongue|English|PL0004
Heartleaf Penstemon|English|PL0004
Heart-leaf Penstemon|English|PL0004
Heart leaf Penstemon|English|PL0004
Heartleaf Beardtongue|English|PL0004
Heart-leaf Beardtongue|English|PL0004
Heart leaf Beardtongue|English|PL0004
Keckiella corymbosa|Latin|PL0005
Penstemon corymbosus|Latin|PL0005
Red Shrubby Penstemon|English|PL0005
Red Shrubby Beardtongue|English|PL0005
Redwood Keckiella|English|PL0005
Keckiella lemmoniiLatin|PL0006
Penstemon lemmonii|Latin|PL0006
Lemmon's Penstemon|English|PL0006
Lemmon's Beardtongue|English|PL0006
Lemmon's Bush-beardtongue|English|PL0006
Lemmon's Keckiella|English|PL0006
Shrubby Penstemon|English|PL0006,PL0138,PL0139,PL0140
Shrubby Beardtongue|English|PL0006,PL0138,PL0139,PL0140
Keckiella rothrockii jacintensis|Latin|PL0007
Penstemon rothrockii jacintensis|Latin|PL0007
Rothrock's Bush Beardtongue|English|PL0007,PL0008
Rothrock's Bush-beardtongue|English|PL0007,PL0008
Rothrock's Keckiella|English|PL0007,PL0008
Rothrock's Penstemon|English|PL0007,PL0008
Rothrock's Beardtongue|English|PL0007,PL0008
San Jacinto Mountains Keckiella|English|PL0007
Keckiella rothrockii rothrockii|Latin|PL0008
Penstemon rothrockii|Latin|PL0008
Nothochelone nemorosa|Latin|PL0009
Penstemon nemorosus|LatinPL0009
Woodland Beardtongue|English|PL0009
Woodland Penstemon|English|PL0009
Penstemon abietinus|Latin|PL0010
Firleaf Penstemon|English|PL0010
Fir-leaf Penstemon|English|PL0010
Fir Leaf Penstemon|English|PL0010
Firleaf Beardtongue|English|PL0010
Fir-leaf Beardtongue|English|PL0010
Fir Leaf Beardtongue|English|PL0010
Penstemon absarokensis|Latin|PL0011
Absaroka Penstemon|English|PL0011
Absaroka Beardtongue|English|PL0011
Absaroka Range Penstemon|English|PL0011
Absaroka Range Beardtongue|English|PL0011
Penstemon acaulis|Latin|PL0012
Stemless Penstemon|English|PL0012
Stemless Beardtongue|English|PL0012
Penstemon acuminatus acuminatus|Latin|PL0013
Sand-dune Beardtongue|English|PL0013,PL0014
Sand Dune Beardtongue|English|PL0013,PL0014
Sand-dune Penstemon|English|PL0013,PL0014
Sand Dune Penstemon|English|PL0013,PL0014
Sharpleaf Penstemon|English|PL0013,PL0014
Sharp-leaf Penstemon|English|PL0013,PL0014
Sharp Leaf Penstemon|English|PL0013,PL0014
Sharpleaf Beardtongue|English|PL0013,PL0014
Sharp-leaf Beardtongue|English|PL0013,PL0014
Sharp Leaf Beardtongue|English|PL0013,PL0014
Penstemon acuminatus latebracteatus|Latin|PL0014
Penstemon alamosensis|Latin|PL0015
Los Alamos Penstemon|English|PL0015
Los Alamos Beardtongue|English|PL0015
Alamo Penstemon|English|PL0015
Alamo Beardtongue|English|PL0015
Penstemon albertinus|Latin|PL0016
Alberta Penstemon|English|PL0016
Alberta Beardtongue|English|PL0016
Penstemon albidus|Latin|PL0017
White Penstemon|English|PL0017,PL0161
White Beardtongue|English|PL0017,PL0161
Red-line Penstemon|English|PL0017
Red-line Beardtongue|English|PL0017
Penstemon albomarginatus|Latin|PL0018
White-margined Beardtongue|English|PL0018
White-margined Penstemon|English|PL0018
White-margin Beardtongue|English|PL0018
White-margin Penstemon|English|PL0018
Penstemon alluviorum|Latin|PL0019
Penstemon laevigatus alluviorum|Latin|PL0019
Lowland Penstemon|English|PL0019
Lowland Beardtongue|English|PL0019
Penstemon ambiguus ambiguus|Latin|PL0020
Leiostemon ambiguus|Latin|PL0020
Gilia Beardtongue|English|PL0020
Gilia Penstemon|English|PL0020,PL0021
Penstemon ambiguus laevissimus|Latin|PL0021
Pink Plains Beardtongue|English|PL0021
Pink Plains Penstemon|English|PL0021
Penstemon ammophilus|Latin|PL0022
Canaan Mountain Penstemon|English|PL0022
Canaan Mountain Beardtongue|English|PL0022
Sandloving Penstemon|English|PL0022
Sand-loving Penstemon|English|PL0022
Sand Loving Penstemon|English|PL0022
Penstemon anguineus|Latin|PL0023
Penstemon rattanii minor|Latin|PL0023
Siskiyou Penstemon|English|PL0023
Siskiyou Beardtongue|English|PL0023
Penstemon angustifolius angustifolius|Latin|PL0024
Broadbeard Penstemon|English|PL0024,PL0025,PL0026,PL0027,PL0028
Broad-beard Penstemon|English|PL0024,PL0025,PL0026,PL0027,PL0028
Broad Beard Penstemon|English|PL0024,PL0025,PL0026,PL0027,PL0028
Broadbeard Beardtongue|English|PL0024,PL0025,PL0026,PL0027,PL0028
Broad-beard Beardtongue|English|PL0024,PL0025,PL0026,PL0027,PL0028
Broad Beard Beardtongue|English|PL0024,PL0025,PL0026,PL0027,PL0028
Penstemon angustifolius caudatus|Latin|PL0025
Penstemon caudatus|Latin|PL0025
Narrowleaf Penstemon|English|PL0025
Narrow-leaf Penstemon|English|PL0025
Narrow Leaf Penstemon|English|PL0025
Narrowleaf Beardtongue|English|PL0025
Narrow-leaf Beardtongue|English|PL0025
Narrow Leaf Beardtongue|English|PL0025
Penstemon angustifolius dulcis|Latin|PL0026
Sweet Penstemon|English|PL0026
Sweet Beardtongue|English|PL0026
Penstemon angustifolius venosus|Latin|PL0027
Penstemon venosus|Latin|PL0027
Penstemon angustifolius vernalensis|Latin|PL0028
Vernal Narrowleaf Penstemon|English|PL0028
Vernal Narrow-leaf Penstemon|English|PL0028
Vernal Narrow Leaf Penstemon|English|PL0028
Vernal Narrowleaf Beardtongue|English|PL0028
Vernal Narrow-leaf Beardtongue|English|PL0028
Vernal Narrow Leaf Beardtongue|English|PL0028
Penstemon arenarius|Latin|PL0029
Penstemon maguirei|Latin|PL0029
Nevada Sand-dune Penstemon|English|PL0029
Nevada Sand-dune Beardtongue|English|PL0029
Sand-dune Penstemon|English|PL0029
Sand-dune Beardtongue|English|PL0029
Nevada Dune Penstemon|English|PL0029
Nevada Dune Beardtongue|English|PL0029
Penstemon arenicola|Latin|PL0030
Red Desert Penstemon|English|PL0030
Red Desert Beardtongue|English|PL0030
Sand Penstemon|English|PL0030,PL0328
Sand Beardtongue|English|PL0030,PL0328
Penstemon aridus|Latin|PL0031
Stiffleaf Beardtongue|English|PL0031
Stiff-leaf Beardtongue|English|PL0031
Stiff Leaf Beardtongue|English|PL0031
Stiffleaf Penstemon|English|PL0031
Stiff-leaf Penstemon|English|PL0031
Stiff Leaf Penstemon|English|PL0031
Penstemon arkansanus|Latin|PL0032
Penstemon multicaulis|Latin|PL0032
Penstemon pallidus arkansanus|Latin|PL0032
Penstemon wherryi|Latin|PL0032
Arkansas Penstemon|English|PL0032
Arkansas Beardtongue|English|PL0032
Penstemon attenuatus attenuatus|Latin|PL0033
Penstemon nelsoniae|Latin|PL0033
Sulphur Penstemon|English|PL0033,PL0035
Sulphur Beardtongue|English|PL0033,PL0035
Taperleaf Penstemon|English|PL0033
Taper-leaf Penstemon|English|PL0033
Taper Leaf Penstemon|English|PL0033
Taperleaf Beardtongue|English|PL0033
Taper-leaf Beardtongue|English|PL0033
Taper Leaf Beardtongue|English|PL0033
Penstemon attenuatus militaris|Latin|PL0034
Penstemon assurgens|Latin|PL0034
South Idaho Beardtongue|English|PL0034
South Idaho Penstemon|English|PL0034
Penstemon attenuatus palustris|Latin|PL0035
Penstemon palustris|Latin|PL0035
Penstemon attenuatus pseudoprocerus|Latin|PL0036
Small Beardtongue|English|PL0036,PL0253
Small Penstemon|English|PL0036,PL0253
Penstemon atwoodii|Latin|PL0037
Atwood’s Penstemon|English|PL0037
Atwood’s Beardtongue|English|PL0037
