PlantID|SpeciesName|HeightMinCm|HeightMaxCm|ElevationMinMeters|ElevationMaxMeters|SoilMoisture|Substrates|Terrain|PlantAssociations|HabitatNotes|BloomMonths|BloomColors|NectarGuides|PlantNotes|StateCodes|CountyCodes
PL0001|Keckiella antirrhinoides antirrhinoides|60|250|100|1600|mesic|loamy soils, clay soils|desert, woodlands|chaparral, oak, piñon-juniper||4, 5|yellow|none||CA|06065
PL0002|Keckiella antirrhinoides microphylla|60|250|400|1800|unspecified|unspecified|woodlands, shrublands, canyons|piñon-juniper, Joshua tree||3, 4, 5, 6|yellow, orange|none||AZ, CA, NV|
PL0003|Keckiella breviflora|50|200|0|2450|xeric|gravelly soils, rock crevices|rocky hillsides, woodlands|chaparral||5, 6, 7|white|violet|violet|CA, NV|
PL0004|Keckiella cordifolia|100|300|0|1500|mesic|gravelly soils|hillsides, canyons, riparian woodlands|chaparral||5, 6, 7|orange-red, red|none||CA|06079, 06029, 06071, 06037, 06111, 06083, 06059, 06065, 06025,06073
PL0005|Keckiella corymbosa|30|60|40|2000|xeric|gravelly soils, rock crevices|rocky hillsides, cliffs, woodlands|chaparral, conifers, hardwoods||6, 7, 8, 9, 10|bright pink|none||CA|06015, 06023, 06041, 06045, 06097, 06075, 06081, 06087, 06069, 06053, 06079, 06083, 06111
PL0006|Keckiella lemmonii|50|150|40|1900|mesic, xeric|gravelly soils, rock crevices|rocky hillsides, woodlands|chaparral, conifers, mixed forest||6, 7, 8|white, yellow, orange, violet, brown|||CA, NV, OR|
PL0007|Keckiella rothrockii jacintensis|30|60|1900|3200|xeric|unspecified|grasslands, woodlands|sagebrush, piñon-juniper||5, 6, 7, 8|white, yellow, violet|||CA|
PL0008|Keckiella rothrockii rothrockii|30|60|1900|3200|xeric|gravelly soils|grasslands, woodlands|sagebrush, piñon-juniper||5, 6, 7, 8|white, yellow, violet|||CA, NV|
PL0009|Nothochelone nemorosa|22|120|0|2700|mesic|gravelly soils, rock crevices|rocky hillsides, cliffs, woodlands|conifers, mixed evergreens||6, 7, 8|rose pink, violet|||CA, OR, WA|
PL0010|Penstemon abietinus|5|18|1800|2600|xeric|calcareous gravel soils|unspecified|piñon-juniper, oak, sagebrush||6, 7|white, blue, violet|none||UT|49015, 49021, 49041, 49049
PL0011|Penstemon absarokensis|7|18|1936|3044|xeric|gravelly soils|volcanic scree slopes|none|778860 Absaroka Range|6, 7|blue, violet|violet||WY|56013, 56029
PL0012|Penstemon acaulis|1|2|1500|2200|xeric|sandstone, gravelly soils, clay soils|ridgetops, rock ledges, open hillsides|sagebrush, Utah juniper||5, 6, 7|white, yellow, blue, violet|none||UT, WY|49009, 56037
